nama,kode,lat,lng
Kemangkon,33.03.01,-7.472718,109.380756
Bukateja,33.03.02,-7.426915,109.431268
Kejobong,33.03.03,-7.420845,109.501552
Kaligondang,33.03.04,-7.388301,109.412467
Purbalingga,33.03.05,-7.387902,109.363991
Kalimanah,33.03.06,-7.400512,109.336442
Kutasari,33.03.07,-7.348633,109.324225
Mrebet,33.03.08,-7.309068,109.335352
Bobotsari,33.03.09,-7.279624,109.358245
Karangreja,33.03.10,-7.228512,109.349661
Karanganyar,33.03.11,-7.271922,109.404221
Karangmoncol,33.03.12,-7.251412,109.467882
Rembang,33.03.13,-7.279854,109.516881
Bojongsari,33.03.14,-7.347912,109.352441
Padamara,33.03.15,-7.388851,109.317551
Pengadegan,33.03.16,-7.382412,109.471221
Karangjambu,33.03.17,-7.182412,109.401221
Kertanegara,33.03.18,-7.278512,109.431221

